═══════════════════════════════════════════════════════════════
  TALOS Exercise Enrichment Report
  Generated: 2026-02-19T19:02:50.484Z
═══════════════════════════════════════════════════════════════

SUMMARY
  Total TALOS exercises: 350
  Matched (enriched):    243
  Unmatched:             107
  Match rate:            69.4%

───────────────────────────────────────────────────────────────
MATCHED EXERCISES (enriched with instructions + images)
───────────────────────────────────────────────────────────────
  ✓ Ab Machine Crunch                        → Ab Crunch Machine [manual] (4 steps)
  ✓ Ab Wheel Rollout                         → Ab Roller [manual] (4 steps)
  ✓ Alternating DB Curl                      → Dumbbell Bicep Curl [fuzzy(0.65)] (4 steps)
  ✓ Arnold Press                             → Arnold Dumbbell Press [manual] (5 steps)
  ✓ Back Extension                           → Hyperextensions (Back Extensions) [manual] (6 steps)
  ✓ Back Squat                               → Barbell Squat [manual] (6 steps)
  ✓ Barbell Bulgarian Split Squat            → Barbell Side Split Squat [fuzzy(0.75)] (4 steps)
  ✓ Barbell Curl                             → Barbell Curl [manual] (5 steps)
  ✓ Barbell Drag Curl                        → Barbell Curl [fuzzy(0.82)] (5 steps)
  ✓ Barbell Front Raise                      → Standing Front Barbell Raise Over Head [fuzzy(0.65)] (5 steps)
  ✓ Barbell Glute Bridge                     → Barbell Glute Bridge [fuzzy(1.15)] (3 steps)
  ✓ Barbell Good Morning                     → Stiff Leg Barbell Good Morning [manual] (6 steps)
  ✓ Barbell Hip Thrust                       → Barbell Hip Thrust [fuzzy(1.00)] (3 steps)
  ✓ Barbell Lunge                            → Barbell Lunge [manual] (5 steps)
  ✓ Barbell Overhead Extension               → Standing Overhead Barbell Triceps Extension [fuzzy(0.75)] (5 steps)
  ✓ Barbell Pullover                         → Bent-Arm Barbell Pullover [fuzzy(0.82)] (5 steps)
  ✓ Barbell Rollout                          → Barbell Ab Rollout [fuzzy(0.82)] (4 steps)
  ✓ Barbell Row                              → Bent Over Barbell Row [manual] (4 steps)
  ✓ Barbell Shrug                            → Barbell Shrug [manual] (4 steps)
  ✓ Barbell Standing Calf Raise              → Standing Barbell Calf Raise [fuzzy(1.15)] (6 steps)
  ✓ Barbell Upright Row                      → Upright Barbell Row [manual] (4 steps)
  ✓ Behind the Back Wrist Curl               → Standing Palms-Up Barbell Behind The Back Wrist Curl [fuzzy(0.78)] (6 steps)
  ✓ Behind the Neck Press                    → Push Press - Behind the Neck [fuzzy(0.95)] (3 steps)
  ✓ Behind the Neck Pulldown                 → Wide-Grip Pulldown Behind The Neck [fuzzy(0.95)] (6 steps)
  ✓ Bench Dips                               → Bench Dips [manual] (4 steps)
  ✓ Bench Press                              → Barbell Bench Press - Medium Grip [manual] (5 steps)
  ✓ Bodyweight Lunge                         → Bodyweight Walking Lunge [fuzzy(0.67)] (4 steps)
  ✓ Bodyweight Squat                         → Bodyweight Squat [fuzzy(1.15)] (3 steps)
  ✓ Box Jump                                 → Front Box Jump [fuzzy(0.67)] (4 steps)
  ✓ Box Squat                                → Box Squat [manual] (4 steps)
  ✓ Bradford Press                           → Standing Bradford Press [fuzzy(0.82)] (6 steps)
  ✓ Cable Bayesian Curl                      → Cable Preacher Curl [fuzzy(0.65)] (7 steps)
  ✓ Cable Chest Press                        → Cable Chest Press [manual] (4 steps)
  ✓ Cable Crossover                          → Cable Crossover [manual] (5 steps)
  ✓ Cable Crunch                             → Cable Crunch [manual] (6 steps)
  ✓ Cable Curl                               → Cable Preacher Curl [fuzzy(0.82)] (7 steps)
  ✓ Cable Front Raise                        → Front Cable Raise [fuzzy(1.15)] (5 steps)
  ✓ Cable Hammer Curl                        → Cable Hammer Curls - Rope Attachment [manual] (6 steps)
  ✓ Cable Kickback                           → One-Legged Cable Kickback [fuzzy(0.82)] (6 steps)
  ✓ Cable Lateral Raise                      → Cable Seated Lateral Raise [fuzzy(0.90)] (7 steps)
  ✓ Cable Preacher Curl                      → Cable Preacher Curl [manual] (7 steps)
  ✓ Cable Rear Delt Fly                      → Cable Rear Delt Fly [manual] (4 steps)
  ✓ Cable Romanian Deadlift                  → Romanian Deadlift [fuzzy(0.67)] (5 steps)
  ✓ Cable Rope Curl                          → Cable Preacher Curl [fuzzy(0.65)] (7 steps)
  ✓ Cable Rotation                           → Cable Internal Rotation [fuzzy(0.67)] (5 steps)
  ✓ Cable Shrug                              → Cable Shrugs [manual] (5 steps)
  ✓ Cable Upright Row                        → Upright Cable Row [fuzzy(1.00)] (4 steps)
  ✓ Cable Wrist Curl                         → Cable Wrist Curl [manual] (6 steps)
  ✓ Cable Y Raise                            → Front Cable Raise [fuzzy(0.65)] (5 steps)
  ✓ Captain's Chair Leg Raise                → Hanging Leg Raise [fuzzy(0.55)] (4 steps)
  ✓ Chin-ups                                 → Chin-Up [manual] (5 steps)
  ✓ Close Grip Barbell Curl                  → Barbell Curl [fuzzy(0.65)] (5 steps)
  ✓ Close Grip Cable Row                     → Upright Cable Row [fuzzy(0.55)] (4 steps)
  ✓ Close Grip Lat Pulldown                  → Close-Grip Front Lat Pulldown [manual] (6 steps)
  ✓ Close-Grip Bench                         → Close-Grip Barbell Bench Press [manual] (5 steps)
  ✓ Close-Grip Bench Press                   → Close-Grip Barbell Bench Press [manual] (5 steps)
  ✓ Concentration Curl                       → Concentration Curls [manual] (5 steps)
  ✓ Conventional Deadlift                    → Barbell Deadlift [manual] (5 steps)
  ✓ Cross-Body Cable Extension               → Cable Incline Triceps Extension [fuzzy(0.55)] (5 steps)
  ✓ Cross-Body Hammer Curl                   → Alternate Hammer Curl [fuzzy(0.65)] (6 steps)
  ✓ Crunch                                   → 3/4 Sit-Up [manual] (5 steps)
  ✓ DB Bench Press                           → Dumbbell Bench Press [manual] (5 steps)
  ✓ DB Bulgarian Split Squat                 → Dumbbell Squat [fuzzy(0.65)] (5 steps)
  ✓ DB Chest Supported Row                   → Dumbbell Incline Row [fuzzy(0.55)] (4 steps)
  ✓ DB Close-Grip Press                      → Close-Grip Dumbbell Press [fuzzy(1.15)] (5 steps)
  ✓ DB Curl                                  → Dumbbell Bicep Curl [manual] (4 steps)
  ✓ DB Drag Curl                             → Drag Curl [fuzzy(0.67)] (4 steps)
  ✓ DB Floor Press                           → Dumbbell Floor Press [fuzzy(1.00)] (3 steps)
  ✓ DB Fly                                   → Dumbbell Flyes [manual] (5 steps)
  ✓ DB Front Raise                           → Front Dumbbell Raise [manual] (4 steps)
  ✓ DB Goblet Squat                          → Goblet Squat [manual] (3 steps)
  ✓ DB Good Morning                          → Good Morning [fuzzy(0.67)] (3 steps)
  ✓ DB Kickback                              → Tricep Dumbbell Kickback [fuzzy(0.82)] (4 steps)
  ✓ DB Lateral Lunge                         → Dumbbell Rear Lunge [fuzzy(0.65)] (4 steps)
  ✓ DB Lateral Raise                         → Side Lateral Raise [manual] (4 steps)
  ✓ DB Lunge                                 → Dumbbell Lunges [manual] (4 steps)
  ✓ DB Overhead Extension                    → Decline Dumbbell Triceps Extension [fuzzy(0.55)] (5 steps)
  ✓ DB Pullover                              → Bent-Arm Dumbbell Pullover [manual] (6 steps)
  ✓ DB Reverse Curl                          → Standing Dumbbell Reverse Curl [fuzzy(0.90)] (4 steps)
  ✓ DB Reverse Lunge                         → Dumbbell Rear Lunge [fuzzy(0.65)] (4 steps)
  ✓ DB Reverse Wrist Curl                    → Seated Dumbbell Palms-Down Wrist Curl [fuzzy(0.65)] (7 steps)
  ✓ DB Romanian Deadlift                     → Romanian Deadlift [fuzzy(0.67)] (5 steps)
  ✓ DB Russian Twist                         → Russian Twist [fuzzy(0.67)] (5 steps)
  ✓ DB Shrug                                 → Dumbbell Shrug [manual] (4 steps)
  ✓ DB Shrug (Shoulders)                     → Dumbbell Shrug [fuzzy(0.67)] (4 steps)
  ✓ DB Side Bend                             → Dumbbell Side Bend [fuzzy(1.15)] (4 steps)
  ✓ DB Spider Curl                           → Spider Curl [fuzzy(0.67)] (7 steps)
  ✓ DB Split Squat                           → Dumbbell Squat [fuzzy(0.82)] (5 steps)
  ✓ DB Squat                                 → Dumbbell Squat [fuzzy(1.15)] (5 steps)
  ✓ DB Squeeze Press                         → Dumbbell Bench Press [fuzzy(0.65)] (5 steps)
  ✓ DB Standing Calf Raise                   → Standing Dumbbell Calf Raise [fuzzy(1.15)] (4 steps)
